OrderID,Platform,City,Restaurant,Cuisine,OrderValue,DeliveryTime,CustomerRating,OrderHour,OrderDay
1,Swiggy,Mumbai,"Rodriguez, Figueroa and Sanchez",Mughlai,347.53,43,2,10,Weekday
2,Zomato,Mumbai,Doyle Ltd,North Indian,184.33,44,4,9,Weekday
3,Zomato,Delhi,"Mcclain, Miller and Henderson",Italian,630.34,15,4,11,Weekend
4,Zomato,Bangalore,Davis and Sons,South Indian,293.78,58,2,15,Weekday
5,Zomato,Kolkata,"Guzman, Hoffman and Baldwin",Chinese,643.35,20,4,17,Weekday
6,Zomato,Mumbai,"Gardner, Robinson and Lawrence",Fast Food,363.86,61,4,20,Weekday
7,Swiggy,Chennai,Blake and Sons,South Indian,795.76,25,5,22,Weekday
8,Zomato,Bangalore,"Henderson, Ramirez and Lewis",Italian,672.12,61,3,14,Weekday
9,Zomato,Chennai,Garcia-James,Mughlai,683.23,36,4,12,Weekday
10,Zomato,Hyderabad,Abbott-Munoz,Chinese,990.57,86,3,14,Weekday
11,Swiggy,Kolkata,Blair PLC,North Indian,824.54,66,3,12,Weekend
12,Swiggy,Chennai,Dudley Group,Italian,456.07,73,2,11,Weekday
13,Zomato,Chennai,Arnold Ltd,Fast Food,485.59,89,3,12,Weekday
14,Zomato,Mumbai,"Mcclure, Ward and Lee",Biryani,142.4,29,3,11,Weekend
15,Swiggy,Hyderabad,Williams and Sons,Italian,636.3,74,4,17,Weekday
16,Swiggy,Chennai,Galloway-Wyatt,Fast Food,775.79,58,2,15,Weekday
17,Zomato,Mumbai,James Group,Mughlai,888.27,48,5,21,Weekday
18,Swiggy,Kolkata,"Flowers, Martin and Kelly",Mughlai,368.6,79,4,11,Weekend
19,Swiggy,Pune,"Adams, Zuniga and Wong",Biryani,930.19,15,4,16,Weekday
20,Swiggy,Bangalore,"Reid, Ferguson and Sanchez",Biryani,826.1,45,2,23,Weekday
21,Swiggy,Chennai,Gray-Mayo,Italian,834.42,83,4,11,Weekend
22,Swiggy,Bangalore,"Watts, Robinson and Nguyen",Fast Food,885.19,69,5,23,Weekday
23,Zomato,Hyderabad,Perez Inc,Mughlai,684.89,71,5,16,Weekday
24,Swiggy,Delhi,Morales-Jones,North Indian,404.28,90,4,18,Weekday
25,Swiggy,Mumbai,"Walter, Edwards and Rios",Mughlai,667.99,44,2,9,Weekend
26,Swiggy,Pune,Wilkerson-Day,South Indian,350.63,77,3,11,Weekend
27,Swiggy,Kolkata,Baker and Sons,Italian,826.75,39,2,19,Weekend
28,Zomato,Hyderabad,"Hoffman, Baker and Richards",Italian,520.32,21,4,19,Weekday
29,Swiggy,Hyderabad,"Ross, Robinson and Bright",Mughlai,405.37,28,3,12,Weekend
30,Swiggy,Hyderabad,"Snyder, Campos and Callahan",South Indian,350.69,46,5,10,Weekend
31,Swiggy,Mumbai,Burton Ltd,Mughlai,999.35,16,5,23,Weekday
32,Swiggy,Hyderabad,Carlson-Cruz,Italian,533.22,66,5,11,Weekend
33,Swiggy,Hyderabad,"Ferrell, Rice and Maddox",Chinese,933.87,73,3,20,Weekend
34,Swiggy,Delhi,Frazier Inc,Chinese,295.93,22,4,17,Weekday
35,Zomato,Mumbai,"Dyer, Potter and Mack",North Indian,625.76,79,5,17,Weekday
36,Swiggy,Pune,Rodriguez-Graham,North Indian,866.21,23,4,19,Weekday
37,Zomato,Mumbai,Smith-Bowen,Fast Food,321.59,20,4,15,Weekend
38,Zomato,Delhi,"Baker, Mason and White",Mughlai,744.57,45,3,11,Weekend
39,Zomato,Bangalore,Harrell LLC,Biryani,942.16,16,4,18,Weekday
40,Swiggy,Pune,"Romero, Gonzalez and Brooks",South Indian,555.3,31,5,23,Weekday
41,Swiggy,Bangalore,Ryan PLC,Chinese,241.97,84,4,18,Weekday
42,Zomato,Chennai,George Group,North Indian,945.04,32,3,23,Weekday
43,Swiggy,Bangalore,Rodriguez LLC,Chinese,644.35,58,3,19,Weekend
44,Zomato,Bangalore,Allen-Allen,Biryani,145.72,69,5,9,Weekday
45,Zomato,Kolkata,"Arroyo, Miller and Tucker",South Indian,673.4,48,3,16,Weekend
46,Swiggy,Mumbai,Spence PLC,North Indian,950.55,34,4,22,Weekend
47,Swiggy,Hyderabad,Anderson Group,South Indian,137.65,61,5,21,Weekday
48,Zomato,Delhi,"Martin, Rose and Obrien",Mughlai,324.58,28,3,17,Weekend
49,Swiggy,Delhi,Hickman Ltd,Biryani,246.25,37,5,9,Weekday
50,Zomato,Kolkata,"Harris, Collins and Carney",Italian,822.01,46,3,21,Weekday
51,Zomato,Kolkata,"Brooks, Lam and Hayes",North Indian,872.73,43,3,23,Weekend
52,Zomato,Bangalore,Walker LLC,Biryani,815.81,44,3,19,Weekday
53,Zomato,Bangalore,Chapman and Sons,Chinese,877.92,50,3,17,Weekend
54,Zomato,Mumbai,"Robinson, Jones and Welch",North Indian,889.33,48,3,13,Weekday
55,Swiggy,Pune,Jones Inc,Italian,411.12,55,4,17,Weekday
56,Zomato,Pune,Jones-Young,South Indian,329.25,70,1,23,Weekday
57,Zomato,Hyderabad,"Washington, Ryan and Cummings",North Indian,953.99,57,4,19,Weekday
58,Zomato,Pune,"Johnston, Sanchez and Kennedy",Chinese,700.2,56,4,13,Weekday
59,Swiggy,Hyderabad,Lee-Davis,Mughlai,946.33,37,4,13,Weekend
60,Swiggy,Bangalore,Gomez-Jenkins,Chinese,289.16,89,4,14,Weekend
61,Zomato,Hyderabad,"Brown, Valdez and Lucas",Mughlai,292.33,75,4,21,Weekday
62,Swiggy,Bangalore,Powell LLC,Fast Food,697.47,57,2,21,Weekday
63,Zomato,Delhi,Wright and Sons,Biryani,279.22,18,1,16,Weekday
64,Zomato,Hyderabad,"West, Henderson and Ramirez",Mughlai,618.1,64,4,12,Weekday
65,Swiggy,Kolkata,Baxter Inc,Biryani,793.04,28,4,12,Weekday
66,Zomato,Mumbai,Morton-Chase,Fast Food,324.28,30,4,21,Weekend
67,Zomato,Kolkata,Williams PLC,Italian,651.39,79,4,23,Weekend
68,Swiggy,Chennai,Novak and Sons,Biryani,527.21,48,4,22,Weekend
69,Zomato,Chennai,Russell Group,South Indian,347.14,24,4,12,Weekend
70,Zomato,Bangalore,Hancock Inc,Fast Food,172.52,34,3,20,Weekday
71,Swiggy,Mumbai,Gray Group,Italian,466.84,84,4,9,Weekday
72,Zomato,Hyderabad,House-Glover,Biryani,625.67,17,5,21,Weekend
73,Zomato,Mumbai,Henderson-Bernard,Chinese,368.75,64,5,22,Weekend
74,Swiggy,Hyderabad,"Stanley, Tucker and Lee",South Indian,345.64,77,1,14,Weekend
75,Swiggy,Kolkata,Novak PLC,Italian,927.59,83,1,15,Weekday
76,Swiggy,Chennai,"Daniels, Adkins and Brown",Italian,222.13,74,3,13,Weekend
77,Zomato,Delhi,"Woods, Calhoun and Schmidt",Italian,394.16,63,3,22,Weekend
78,Zomato,Kolkata,Yu Inc,North Indian,523.28,84,2,14,Weekday
79,Swiggy,Kolkata,Jones Inc,Mughlai,136.23,18,5,12,Weekday
80,Swiggy,Delhi,"Hensley, Powell and David",South Indian,526.2,29,4,12,Weekend
81,Zomato,Kolkata,"Sanchez, Wheeler and Harvey",Chinese,251.01,29,4,11,Weekend
82,Swiggy,Pune,Sandoval-Cunningham,North Indian,936.0,88,4,15,Weekend
83,Swiggy,Mumbai,Donovan-Harris,Fast Food,721.55,46,2,21,Weekend
84,Swiggy,Kolkata,"Edwards, Baker and Anderson",Fast Food,804.37,59,4,19,Weekend
85,Swiggy,Pune,"Evans, Stewart and Walton",Mughlai,407.11,68,5,10,Weekend
86,Zomato,Chennai,Smith PLC,Biryani,513.77,34,4,20,Weekend
87,Zomato,Hyderabad,"Ferrell, Jones and Lewis",Italian,843.16,90,3,22,Weekday
88,Swiggy,Bangalore,Anderson-Bailey,Italian,319.48,74,4,19,Weekend
89,Zomato,Mumbai,Suarez LLC,Italian,865.86,38,4,14,Weekend
90,Zomato,Bangalore,Moore-Bass,Fast Food,731.07,50,4,17,Weekday
91,Swiggy,Delhi,"Turner, Riggs and Roman",Mughlai,465.79,86,4,20,Weekend
92,Zomato,Hyderabad,"Smith, Montoya and Evans",Biryani,115.52,52,3,20,Weekday
93,Zomato,Chennai,"Garcia, Humphrey and Baker",Fast Food,432.12,85,4,15,Weekend
94,Zomato,Chennai,Newton and Sons,Italian,343.82,47,3,20,Weekday
95,Zomato,Mumbai,Campbell-Clark,Mughlai,582.28,38,3,20,Weekend
96,Zomato,Chennai,Harris-Walters,Fast Food,978.95,82,4,10,Weekday
97,Zomato,Delhi,Wagner-King,Chinese,261.5,16,4,11,Weekend
98,Swiggy,Mumbai,Davis Group,Fast Food,362.92,31,4,21,Weekend
99,Swiggy,Kolkata,Williams-Cook,North Indian,616.66,75,4,14,Weekday
100,Swiggy,Bangalore,Walsh LLC,Biryani,529.96,23,4,10,Weekday
101,Swiggy,Delhi,Figueroa PLC,Biryani,606.56,53,2,12,Weekday
102,Zomato,Pune,"Patterson, Smith and Jones",Fast Food,811.67,43,4,15,Weekend
103,Zomato,Bangalore,"Mckee, Gardner and Davenport",Biryani,629.67,69,3,18,Weekday
104,Swiggy,Kolkata,"Tran, Jordan and Williams",South Indian,662.96,48,4,11,Weekday
105,Swiggy,Pune,Nolan-Flynn,North Indian,240.88,67,4,18,Weekend
106,Zomato,Mumbai,Nolan and Sons,South Indian,359.29,51,4,16,Weekday
107,Swiggy,Bangalore,"Wright, Garcia and Deleon",Biryani,812.12,90,4,23,Weekday
108,Zomato,Mumbai,Dickson-Brady,Fast Food,302.33,34,5,22,Weekday
109,Swiggy,Mumbai,Hancock and Sons,South Indian,813.37,87,5,16,Weekday
110,Zomato,Chennai,Johnson-Doyle,Chinese,729.76,49,4,16,Weekend
111,Swiggy,Pune,Patton-Jenkins,North Indian,900.48,56,4,9,Weekday
112,Swiggy,Chennai,"Shields, Cochran and Adams",Biryani,874.47,90,5,21,Weekend
113,Swiggy,Kolkata,"Rodriguez, Brennan and Garrison",Biryani,257.67,81,4,23,Weekend
114,Swiggy,Pune,Gonzalez Group,Italian,671.31,77,5,16,Weekend
115,Zomato,Bangalore,Torres-Pope,Chinese,703.12,35,3,20,Weekend
116,Zomato,Chennai,Walker Ltd,Italian,832.21,85,1,10,Weekend
117,Zomato,Bangalore,Ross LLC,North Indian,973.17,66,5,22,Weekday
118,Zomato,Hyderabad,Rasmussen LLC,North Indian,268.82,61,4,16,Weekend
119,Swiggy,Delhi,May-Ross,Chinese,594.3,51,4,20,Weekend
120,Swiggy,Mumbai,"Rivera, Johnson and Wiley",Mughlai,647.98,45,4,13,Weekday
121,Zomato,Mumbai,White-Estes,South Indian,993.03,29,4,10,Weekday
